Part,Quantity,Price,Link
N20 servo motor 500rpm,2,$15.99 (2 pack),https://rb.gy/en4vcc
Dual ESC,1,$16.89,https://shorturl.at/1fuPD
7.4V Lipo Battery 500mAH,1,$25.99 (2 pack),https://shorturl.at/loQIy
Transmitter+Reciver bundle,1,$54.89,https://shorturl.at/hm5es
Light emitting diode,1,$3.97 (50 pack),https://shorturl.at/xcckD
Resistor (330 ohms),1,$4.59 (pack of 100),https://shorturl.at/tH1GN
22 awg solderless connectors,1 male 1 female,$4.99 (Pack of 50),https://kntn.ly/3955eb5b
,,,
Total price (without tax),,$127.31,
Total price (with tax),,138.51,